time_ms,prop_valve_ma,sol_valve,trig
0,12,1,1
1,12,1,0
2,12,1,0
3,12,1,0
4,12,1,0
5,12,1,0
6,12,1,0
7,12,1,0
8,12,1,0
9,12,1,0
10,12,1,0
11,12.8,1,0
12,13.6,1,0
13,14.2,1,0
14,15,1,0
15,15.8,1,0
16,16.6,1,0
17,17.2,1,0
18,18,1,0
19,18.8,1,0
20,19.6,1,0
21,20,1,0
22,20,1,0
23,20,1,0
24,20,1,0
25,19.75,1,0
26,19.75,1,0
27,19.75,1,0
28,19.75,1,0
29,19.69,1,0
30,19.69,1,0
31,19.69,1,0
32,19.69,1,0
33,19.69,1,0
34,19.69,1,0
35,19.69,1,0
36,19.69,1,0
37,19.6,1,0
38,19.6,1,0
39,19.6,1,0
40,19.57,1,0
41,19.53,1,0
42,19.5,1,0
43,19.46,1,0
44,19.45,1,0
45,19.45,1,0
46,19.45,1,0
47,19.3,1,0
48,19.3,1,0
49,19.3,1,0
50,19.23,1,0
51,19.23,1,0
52,19.23,1,0
53,19.23,1,0
54,19.08,1,0
55,19.08,1,0
56,19.08,1,0
57,18.91,1,0
58,18.91,1,0
59,18.91,1,0
60,18.91,1,0
61,18.83,1,0
62,18.82,1,0
63,18.8,1,0
64,18.78,1,0
65,18.68,1,0
66,18.66,1,0
67,18.64,1,0
68,18.54,1,0
69,18.54,1,0
70,18.54,1,0
71,18.54,1,0
72,18.48,1,0
73,18.48,1,0
74,18.48,1,0
75,18.39,1,0
76,18.39,1,0
77,18.39,1,0
78,18.3,1,0
79,18.3,1,0
80,18.3,1,0
81,18.3,1,0
82,18.3,1,0
83,18.3,1,0
84,18.3,1,0
85,18.17,1,0
86,18.17,1,0
87,18.17,1,0
88,18.17,1,0
89,18.09,1,0
90,18.09,1,0
91,18.09,1,0
92,18.09,1,0
93,18.02,1,0
94,18.02,1,0
95,18.02,1,0
96,17.94,1,0
97,17.94,1,0
98,17.94,1,0
99,17.94,1,0
100,17.94,1,0
101,17.94,1,0
102,17.94,1,0
103,17.87,1,0
104,17.87,1,0
105,17.87,1,0
106,17.78,1,0
107,17.78,1,0
108,17.78,1,0
109,17.78,1,0
110,17.78,1,0
111,17.78,1,0
112,17.78,1,0
113,17.7,1,0
114,17.7,1,0
115,17.7,1,0
116,17.7,1,0
117,17.63,1,0
118,17.63,1,0
119,17.63,1,0
120,17.63,1,0
121,17.62,1,0
122,17.6,1,0
123,17.58,1,0
124,17.57,1,0
125,17.57,1,0
126,17.57,1,0
127,17.57,1,0
128,17.48,1,0
129,17.48,1,0
130,17.48,1,0
131,17.42,1,0
132,17.42,1,0
133,17.42,1,0
134,17.41,1,0
135,17.39,1,0
136,17.37,1,0
137,17.35,1,0
138,17.33,1,0
139,17.33,1,0
140,17.33,1,0
141,17.26,1,0
142,17.26,1,0
143,17.26,1,0
144,17.26,1,0
145,17.18,1,0
146,17.18,1,0
147,17.18,1,0
148,17.18,1,0
149,17.09,1,0
150,17.09,1,0
151,17.09,1,0
152,17.03,1,0
153,17.03,1,0
154,17.03,1,0
155,17.03,1,0
156,16.96,1,0
157,16.96,1,0
158,16.96,1,0
159,16.96,1,0
160,16.93,1,0
161,16.9,1,0
162,16.87,1,0
163,16.87,1,0
164,16.87,1,0
165,16.87,1,0
166,16.87,1,0
167,16.85,1,0
168,16.83,1,0
169,16.81,1,0
170,16.81,1,0
171,16.81,1,0
172,16.81,1,0
173,16.72,1,0
174,16.72,1,0
175,16.72,1,0
176,16.72,1,0
177,16.72,1,0
178,16.72,1,0
179,16.72,1,0
180,16.72,1,0
181,16.66,1,0
182,16.66,1,0
183,16.66,1,0
184,16.66,1,0
185,16.66,1,0
186,16.66,1,0
187,16.66,1,0
188,16.57,1,0
189,16.57,1,0
190,16.57,1,0
191,16.57,1,0
192,16.57,1,0
193,16.57,1,0
194,16.57,1,0
195,16.57,1,0
196,16.57,1,0
197,16.57,1,0
198,16.57,1,0
199,16.57,1,0
200,16.57,1,0
201,16.57,1,0
202,16.55,1,0
203,16.53,1,0
204,16.51,1,0
205,16.49,1,0
206,16.48,1,0
207,16.48,1,0
208,16.48,1,0
209,16.42,1,0
210,16.42,1,0
211,16.42,1,0
212,16.42,1,0
213,16.42,1,0
214,16.42,1,0
215,16.42,1,0
216,16.42,1,0
217,16.42,1,0
218,16.42,1,0
219,16.42,1,0
220,16.42,1,0
221,16.42,1,0
222,16.42,1,0
223,16.35,1,0
224,16.35,1,0
225,16.35,1,0
226,16.35,1,0
227,16.35,1,0
228,16.35,1,0
229,16.35,1,0
230,16.34,1,0
231,16.32,1,0
232,16.3,1,0
233,16.28,1,0
234,16.27,1,0
235,16.27,1,0
236,16.27,1,0
237,16.27,1,0
238,16.27,1,0
239,16.27,1,0
240,16.27,1,0
241,16.27,1,0
242,16.27,1,0
243,16.27,1,0
244,16.27,1,0
245,16.27,1,0
246,16.27,1,0
247,16.27,1,0
248,16.27,1,0
249,16.27,1,0
250,16.27,1,0
251,16.2,1,0
252,16.2,1,0
253,16.2,1,0
254,16.2,1,0
255,16.2,1,0
256,16.2,1,0
257,16.2,1,0
258,16.12,1,0
259,16.12,1,0
260,16.12,1,0
261,16.12,1,0
262,16.11,1,0
263,16.08,1,0
264,16.06,1,0
265,16.05,1,0
266,16.05,1,0
267,16.05,1,0
268,16.05,1,0
269,16.04,1,0
270,16.01,1,0
271,15.98,1,0
272,15.97,1,0
273,15.97,1,0
274,15.97,1,0
275,15.88,1,0
276,15.88,1,0
277,15.88,1,0
278,15.88,1,0
279,15.88,1,0
280,15.88,1,0
281,15.88,1,0
282,15.87,1,0
283,15.86,1,0
284,15.84,1,0
285,15.82,1,0
286,15.81,1,0
287,15.81,1,0
288,15.81,1,0
289,15.81,1,0
290,15.75,1,0
291,15.75,1,0
292,15.75,1,0
293,15.66,1,0
294,15.64,1,0
295,15.63,1,0
296,15.61,1,0
297,15.59,1,0
298,15.56,1,0
299,15.53,1,0
300,15.51,1,0
301,15.51,1,0
302,15.51,1,0
303,15.45,1,0
304,15.45,1,0
305,15.45,1,0
306,15.45,1,0
307,15.35,1,0
308,15.32,1,0
309,15.3,1,0
310,15.27,1,0
311,15.27,1,0
312,15.27,1,0
313,15.27,1,0
314,15.14,1,0
315,15.12,1,0
316,15.1,1,0
317,15.07,1,0
318,15.06,1,0
319,15.06,1,0
320,15.06,1,0
321,14.9,1,0
322,14.9,1,0
323,14.9,1,0
324,14.9,1,0
325,14.9,1,0
326,14.88,1,0
327,14.86,1,0
328,14.75,1,0
329,14.75,1,0
330,14.75,1,0
331,14.67,1,0
332,14.67,1,0
333,14.67,1,0
334,14.67,1,0
335,14.54,1,0
336,14.54,1,0
337,14.54,1,0
338,14.38,1,0
339,14.36,1,0
340,14.34,1,0
341,14.32,1,0
342,14.3,1,0
343,14.3,1,0
344,14.3,1,0
345,14.3,1,0
346,14.3,1,0
347,14.23,1,0
348,14.23,1,0
349,14.23,1,0
350,14.06,1,0
351,14.06,1,0
352,14.06,1,0
353,14.06,1,0
354,13.93,1,0
355,13.93,1,0
356,13.93,1,0
357,13.84,1,0
358,13.84,1,0
359,13.84,1,0
360,13.69,1,0
361,13.69,1,0
362,13.69,1,0
363,13.69,1,0
364,13.63,1,0
365,13.63,1,0
366,13.63,1,0
367,13.54,1,0
368,13.54,1,0
369,13.54,1,0
370,13.54,1,0
371,13.44,1,0
372,13.42,1,0
373,13.41,1,0
374,13.39,1,0
375,13.32,1,0
376,13.32,1,0
377,13.32,1,0
378,13.31,1,0
379,13.29,1,0
380,13.26,1,0
381,13.24,1,0
382,13.17,1,0
383,13.17,1,0
384,13.17,1,0
385,13.15,1,0
386,13.12,1,0
387,13.09,1,0
388,13.09,1,0
389,13.09,1,0
390,13.09,1,0
391,13.09,1,0
392,13.02,1,0
393,13.02,1,0
394,13.02,1,0
395,12.94,1,0
396,12.94,1,0
397,12.94,1,0
398,12.94,1,0
399,12.94,1,0
400,12.94,1,0
401,12.94,1,0
402,12.94,1,0
403,12.85,1,0
404,12.85,1,0
405,12.85,1,0
406,12.78,1,0
407,12.78,1,0
408,12.78,1,0
409,12.78,1,0
410,12.78,1,0
411,12.78,1,0
412,12.78,1,0
413,12.72,1,0
414,12.72,1,0
415,12.72,1,0
416,12.72,1,0
417,12.72,1,0
418,12.72,1,0
419,12.72,1,0
420,12.63,1,0
421,12.63,1,0
422,12.63,1,0
423,12.63,1,0
424,12.63,1,0
425,12.63,1,0
426,12.63,1,0
427,12.57,1,0
428,12.57,1,0
429,12.57,1,0
430,12.57,1,0
431,12.57,1,0
432,12.57,1,0
433,12.57,1,0
434,12.48,1,0
435,12.48,1,0
436,12.48,1,0
437,12.48,1,0
438,12.47,1,0
439,12.45,1,0
440,12.43,1,0
441,12.42,1,0
442,12.42,1,0
443,12.42,1,0
444,12.42,1,0
445,12.42,1,0
446,12.42,1,0
447,12.42,1,0
448,12.33,1,0
449,12.33,1,0
450,12.33,1,0
451,12.24,1,0
452,12.24,1,0
453,12.24,1,0
454,12.24,1,0
455,12.24,1,0
456,12.22,1,0
457,12.2,1,0
458,12.19,1,0
459,12.18,1,0
460,12.18,1,0
461,12.18,1,0
462,12.18,1,0
463,12.18,1,0
464,12.18,1,0
465,12.18,1,0
466,12.11,1,0
467,12.11,1,0
468,12.11,1,0
469,12.11,1,0
470,12.11,1,0
471,12.11,1,0
472,12.03,1,0
473,12.03,1,0
474,12.03,1,0
475,12.03,1,0
476,12.03,1,0
477,12.03,1,0
478,12.03,1,0
479,12.02,1,0
480,12,1,0
481,12,1,0
