sensor_reading_mA,pressure_bar,fit_pressure_bar,residual_bar
4.120000000000000107e+00,0.000000000000000000e+00,4.250783309886774219e-02,-4.250783309886774219e-02
4.490000000000000213e+00,2.899999999999999800e-01,2.739469942369963107e-01,1.605300576300366933e-02
5.019999999999999574e+00,6.099999999999999867e-01,6.054679547862069633e-01,4.532045213793023386e-03
5.589999999999999858e+00,9.699999999999999734e-01,9.620093651881886920e-01,7.990634811811281324e-03
6.040000000000000036e+00,1.250000000000000000e+00,1.243489426031858525e+00,6.510573968141475376e-03
6.400000000000000355e+00,1.479999999999999982e+00,1.468673474706794213e+00,1.132652529320576917e-02
6.830000000000000071e+00,1.739999999999999991e+00,1.737643310624078286e+00,2.356689375921705576e-03
7.240000000000000213e+00,2.000000000000000000e+00,1.994102921614977486e+00,5.897078385022513913e-03
7.769999999999999574e+00,2.330000000000000071e+00,2.325623882164187695e+00,4.376117835812376455e-03
8.310000000000000497e+00,2.660000000000000142e+00,2.663399955176592560e+00,-3.399955176592417416e-03
8.830000000000000071e+00,2.979999999999999982e+00,2.988665803262609888e+00,-8.665803262609905744e-03
9.599999999999999645e+00,3.470000000000000195e+00,3.470309462928444777e+00,-3.094629284445815642e-04
1.041000000000000014e+01,3.979999999999999982e+00,3.976973572447050298e+00,3.026427552949684241e-03
1.210999999999999943e+01,5.040000000000000036e+00,5.040342691189801272e+00,-3.426911898012363622e-04
1.366000000000000014e+01,6.000000000000000000e+00,6.009885122984664818e+00,-9.885122984664818091e-03
1.526999999999999957e+01,7.019999999999999574e+00,7.016958229558682092e+00,3.041770441317481755e-03
