Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,17:18:52
TestStartDate,2026/07/08
TestLength [D:H:M:S],0:0:0:30
Sample Interval [H:M:S],0.0:0.0:0.25
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,20
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
1,26,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
2,22,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
3,14,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
4,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
5,24,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
6,25,7,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
7,13,6,2,0,0,1,1,2,0,1,1,2,1,1,1,0,0,0.565,33.389,0.000,101.596,0,
8,26,12,4,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0.565,33.389,0.000,101.596,0,
9,24,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
10,28,12,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.565,33.389,0.000,101.565,0,
11,23,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
12,23,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.565,33.389,0.000,101.565,0,
13,24,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.565,33.389,0.000,101.565,0,
14,25,7,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.565,33.389,0.000,101.596,0,
15,20,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
16,19,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
17,30,6,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
18,18,12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.565,33.389,0.000,101.596,0,
19,29,8,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
20,28,10,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
