Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,12:57:15
TestStartDate,2026/08/19
TestLength [D:H:M:S],0:0:0:30
Sample Interval [H:M:S],0:0:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,20
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
1,84,14,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
2,70,23,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
3,65,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
4,62,20,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
5,69,15,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
6,70,24,4,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0.604,30.691,0.000,100.130,0,
7,60,29,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
8,66,23,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
9,79,28,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
10,72,22,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
11,79,20,6,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
12,62,12,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
13,66,14,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
14,74,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.098,0,
15,72,14,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
16,83,22,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
17,84,18,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
18,71,18,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
19,70,17,8,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
20,69,22,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.604,30.691,0.000,100.130,0,
