time_ms,prop_valve_ma,sol_valve,trig
0,12.0,0,1
1,12.0,0,0
2,12.0,0,0
3,12.0,0,0
4,12.0,0,0
5,12.0,0,0
6,12.0,0,0
7,12.0,0,0
8,12.0,0,0
9,12.0,0,0
10,12.0,0,0
11,12.0,0,0
12,12.0,0,0
13,12.0,0,0
14,12.0,0,0
15,12.0,1,0
16,12.0,1,0
17,12.0,1,0
18,12.0,1,0
19,12.0,1,0
20,19.0,1,0
21,19.0,1,0
22,19.0,1,0
23,19.0,1,0
24,19.0,1,0
25,19.0,1,0
26,19.0,1,0
27,19.0,1,0
28,19.0,1,0
29,19.0,1,0
30,19.0,1,0
31,19.0,1,0
32,19.0,1,0
33,19.0,1,0
34,19.0,1,0
35,19.0,1,0
36,19.0,1,0
37,19.0,1,0
38,19.0,1,0
39,19.0,1,0
40,19.0,1,0
41,19.0,1,0
42,19.0,1,0
43,19.0,1,0
44,19.0,1,0
45,19.0,1,0
46,19.0,1,0
47,19.0,1,0
48,19.0,1,0
49,19.0,1,0
50,19.0,1,0
51,19.0,1,0
52,19.0,1,0
53,19.0,1,0
54,19.0,1,0
55,19.0,1,0
56,19.0,1,0
57,19.0,1,0
58,19.0,1,0
59,19.0,1,0
60,19.0,1,0
61,19.0,1,0
62,19.0,1,0
63,19.0,1,0
64,19.0,1,0
65,19.0,1,0
66,19.0,1,0
67,19.0,1,0
68,19.0,1,0
69,19.0,1,0
70,19.0,1,0
71,19.0,1,0
72,19.0,1,0
73,19.0,1,0
74,19.0,1,0
75,19.0,1,0
76,19.0,1,0
77,19.0,1,0
78,19.0,1,0
79,19.0,1,0
80,19.0,1,0
81,19.0,1,0
82,19.0,1,0
83,19.0,1,0
84,19.0,1,0
85,19.0,1,0
86,19.0,1,0
87,19.0,1,0
88,19.0,1,0
89,19.0,1,0
90,19.0,1,0
91,19.0,1,0
92,19.0,1,0
93,19.0,1,0
94,19.0,1,0
95,19.0,1,0
96,19.0,1,0
97,19.0,1,0
98,19.0,1,0
99,19.0,1,0
100,19.0,1,0
101,19.0,1,0
102,19.0,1,0
103,19.0,1,0
104,19.0,1,0
105,19.0,1,0
106,19.0,1,0
107,19.0,1,0
108,19.0,1,0
109,12.0,0,0
110,12.0,0,0
111,12.0,0,0
112,12.0,0,0
113,12.0,0,0
114,12.0,0,0
115,12.0,0,0
116,12.0,0,0
117,12.0,0,0
118,12.0,0,0
119,12.0,0,0
120,12.0,0,0
121,12.0,0,0
122,12.0,0,0
123,12.0,0,0
124,12.0,0,0
125,12.0,0,0
