time_ms,prop_valve_ma,sol_valve,trig
0,12,1,1
1,12,1,0
2,12,1,0
3,12,1,0
4,12,1,0
5,12,1,0
6,20,1,0
7,20,1,0
8,20,1,0
9,20,1,0
10,20,1,0
11,20,1,0
12,20,1,0
13,20,1,0
14,20,1,0
15,20,1,0
16,20,1,0
17,20,1,0
18,20,1,0
19,20,1,0
20,20,1,0
21,20,1,0
22,20,1,0
23,20,1,0
24,20,1,0
25,20,1,0
26,20,1,0
27,20,1,0
28,20,1,0
29,20,1,0
30,20,1,0
31,20,1,0
32,20,1,0
33,20,1,0
34,20,1,0
35,20,1,0
36,20,1,0
37,20,1,0
38,20,1,0
39,20,1,0
40,20,1,0
41,20,1,0
42,20,1,0
43,20,1,0
44,20,1,0
45,20,1,0
46,20,1,0
47,20,1,0
48,20,1,0
49,20,1,0
50,20,1,0
51,20,1,0
52,20,1,0
53,20,1,0
54,20,1,0
55,20,1,0
56,20,1,0
57,20,1,0
58,20,1,0
59,20,1,0
60,20,1,0
61,20,1,0
62,20,1,0
63,20,1,0
64,20,1,0
65,20,1,0
66,20,1,0
67,20,1,0
68,20,1,0
69,20,1,0
70,20,1,0
71,20,1,0
72,20,1,0
73,20,1,0
74,20,1,0
75,20,1,0
76,20,1,0
77,20,1,0
78,20,1,0
79,20,1,0
80,20,1,0
81,20,1,0
82,20,1,0
83,20,1,0
84,20,1,0
85,20,1,0
86,20,1,0
87,20,1,0
88,20,1,0
89,20,1,0
90,20,1,0
91,20,1,0
92,20,1,0
93,20,1,0
94,20,1,0
95,20,1,0
96,20,1,0
97,20,1,0
98,20,1,0
99,20,1,0
100,20,1,0
101,20,1,0
102,20,1,0
103,20,1,0
104,20,1,0
105,20,1,0
106,20,1,0
107,20,1,0
108,20,1,0
109,20,1,0
110,20,1,0
111,20,1,0
112,20,1,0
113,20,1,0
114,20,1,0
115,20,1,0
116,20,1,0
117,20,1,0
118,20,1,0
119,20,1,0
120,20,1,0
121,20,1,0
122,20,1,0
123,20,1,0
124,20,1,0
125,20,1,0
126,20,1,0
127,20,1,0
128,20,1,0
129,20,1,0
130,20,1,0
131,20,1,0
132,20,1,0
133,20,1,0
134,20,1,0
135,20,1,0
136,20,1,0
137,20,1,0
138,20,1,0
139,20,1,0
140,20,1,0
141,20,1,0
142,20,1,0
143,20,1,0
144,20,1,0
145,20,1,0
146,20,1,0
147,20,1,0
148,20,1,0
149,20,1,0
150,20,1,0
151,20,1,0
152,20,1,0
153,20,1,0
154,20,1,0
155,20,1,0
156,20,1,0
157,20,1,0
158,20,1,0
159,20,1,0
160,20,1,0
161,20,1,0
162,20,1,0
163,20,1,0
164,20,1,0
165,20,1,0
166,20,1,0
167,20,1,0
168,20,1,0
169,20,1,0
170,20,1,0
171,20,1,0
172,20,1,0
173,20,1,0
174,20,1,0
175,20,1,0
176,20,1,0
177,20,1,0
178,20,1,0
179,20,1,0
180,20,1,0
181,20,1,0
182,20,1,0
183,20,1,0
184,20,1,0
185,20,1,0
186,20,1,0
187,20,1,0
188,20,1,0
189,20,1,0
190,20,1,0
191,20,1,0
192,20,1,0
193,20,1,0
194,20,1,0
195,20,1,0
196,20,1,0
197,20,1,0
198,20,1,0
199,20,1,0
200,20,1,0
201,20,1,0
202,20,1,0
203,20,1,0
204,20,1,0
205,20,1,0
206,20,1,0
207,20,1,0
208,20,1,0
209,20,1,0
210,20,1,0
211,20,1,0
212,20,1,0
213,20,1,0
214,20,1,0
215,20,1,0
216,20,1,0
217,20,1,0
218,20,1,0
219,20,1,0
220,20,1,0
221,20,1,0
222,20,1,0
223,20,1,0
224,20,1,0
225,20,1,0
226,20,1,0
227,20,1,0
228,20,1,0
229,20,1,0
230,20,1,0
231,20,1,0
232,20,1,0
233,20,1,0
234,20,1,0
235,20,1,0
236,20,1,0
237,20,1,0
238,20,1,0
239,20,1,0
240,20,1,0
241,20,1,0
242,20,1,0
243,20,1,0
244,20,1,0
245,20,1,0
246,20,1,0
247,20,1,0
248,20,1,0
249,20,1,0
250,20,1,0
251,20,1,0
252,20,1,0
253,20,1,0
254,20,1,0
255,20,1,0
256,20,1,0
257,20,1,0
258,20,1,0
259,20,1,0
260,20,1,0
261,20,1,0
262,20,1,0
263,20,1,0
264,20,1,0
265,20,1,0
266,20,1,0
267,20,1,0
268,20,1,0
269,20,1,0
270,20,1,0
271,20,1,0
272,20,1,0
273,20,1,0
274,20,1,0
275,20,1,0
276,20,1,0
277,20,1,0
278,20,1,0
279,20,1,0
280,20,1,0
281,20,1,0
282,20,1,0
283,20,1,0
284,20,1,0
285,20,1,0
286,20,1,0
287,20,1,0
288,20,1,0
289,20,1,0
290,20,1,0
291,20,1,0
292,20,1,0
293,20,1,0
294,20,1,0
295,20,1,0
296,20,1,0
297,20,1,0
298,20,1,0
299,20,1,0
300,20,1,0
301,20,1,0
302,20,1,0
303,20,1,0
304,20,1,0
305,20,1,0
306,12,0,0
307,12,0,0
308,12,0,0
309,12,0,0
310,12,0,0
311,12,0,0
312,12,0,0
313,12,0,0
314,12,0,0
315,12,0,0
316,12,0,0
317,12,0,0
318,12,0,0
319,12,0,0
320,12,0,0
321,12,0,0
322,12,0,0
323,12,0,0
324,12,0,0
325,12,0,0
