time_ms,flow_rate_lps,sol_valve,trig
0,0.0,0,1
5,0.0,0,0
10,0.0,0,0
15,0.0,0,0
20,0.0,0,0
25,0.0,0,0
30,0.0,0,0
35,0.0,0,0
40,0.0,0,0
45,0.0,0,0
50,0.0,1,0
55,6.0,1,0
60,6.0,1,0
65,6.0,1,0
70,6.0,1,0
75,6.0,1,0
80,6.0,1,0
85,6.0,1,0
90,6.0,1,0
95,6.0,1,0
100,6.0,1,0
105,6.0,1,0
110,6.0,1,0
115,6.0,1,0
120,6.0,1,0
125,6.0,1,0
130,6.0,1,0
135,6.0,1,0
140,6.0,1,0
145,6.0,1,0
150,6.0,1,0
155,6.0,1,0
160,6.0,1,0
165,6.0,1,0
170,6.0,1,0
175,6.0,1,0
180,6.0,1,0
185,6.0,1,0
190,6.0,1,0
195,6.0,1,0
200,6.0,1,0
205,6.0,1,0
210,6.0,1,0
215,6.0,1,0
220,6.0,1,0
225,6.0,1,0
230,6.0,1,0
235,6.0,1,0
240,6.0,1,0
245,6.0,1,0
250,6.0,1,0
255,6.0,1,0
260,6.0,1,0
265,6.0,1,0
270,6.0,1,0
275,6.0,1,0
280,6.0,1,0
285,6.0,1,0
290,6.0,1,0
295,6.0,1,0
300,6.0,1,0
305,6.0,1,0
310,6.0,1,0
315,6.0,1,0
320,6.0,1,0
325,6.0,1,0
330,6.0,1,0
335,6.0,1,0
340,6.0,1,0
345,6.0,1,0
350,6.0,1,0
355,6.0,1,0
360,6.0,1,0
365,6.0,1,0
370,6.0,1,0
375,6.0,1,0
380,6.0,1,0
385,6.0,1,0
390,6.0,1,0
395,6.0,1,0
400,6.0,1,0
405,6.0,1,0
410,6.0,1,0
415,6.0,1,0
420,6.0,1,0
425,6.0,1,0
430,6.0,1,0
435,6.0,1,0
440,6.0,1,0
445,6.0,1,0
450,6.0,1,0
455,6.0,1,0
460,6.0,1,0
465,6.0,1,0
470,6.0,1,0
475,6.0,1,0
480,6.0,1,0
485,6.0,1,0
490,6.0,1,0
495,6.0,1,0
500,6.0,1,0
505,6.0,1,0
510,6.0,1,0
515,6.0,1,0
520,6.0,1,0
525,6.0,1,0
530,6.0,1,0
535,6.0,1,0
540,6.0,1,0
545,6.0,1,0
550,6.0,1,0
555,6.0,1,0
560,6.0,1,0
565,6.0,1,0
570,6.0,1,0
575,6.0,1,0
580,6.0,1,0
585,6.0,1,0
590,6.0,1,0
595,6.0,1,0
600,6.0,1,0
605,6.0,1,0
610,6.0,1,0
615,6.0,1,0
620,6.0,1,0
625,6.0,1,0
630,6.0,1,0
635,6.0,1,0
640,6.0,1,0
645,6.0,1,0
650,6.0,1,0
655,6.0,1,0
660,6.0,1,0
665,6.0,1,0
670,6.0,1,0
675,6.0,1,0
680,6.0,1,0
685,6.0,1,0
690,6.0,1,0
695,6.0,1,0
700,6.0,1,0
705,6.0,1,0
710,6.0,1,0
715,6.0,1,0
720,6.0,1,0
725,6.0,1,0
730,6.0,1,0
735,6.0,1,0
740,6.0,1,0
745,6.0,1,0
750,6.0,1,0
755,6.0,1,0
760,6.0,1,0
765,6.0,1,0
770,6.0,1,0
775,6.0,1,0
780,6.0,1,0
785,6.0,1,0
790,6.0,1,0
795,6.0,1,0
800,6.0,1,0
805,6.0,1,0
810,6.0,1,0
815,6.0,1,0
820,6.0,1,0
825,6.0,1,0
830,6.0,1,0
835,6.0,1,0
840,6.0,1,0
845,6.0,1,0
850,6.0,1,0
855,6.0,1,0
860,6.0,1,0
865,6.0,1,0
870,6.0,1,0
875,6.0,1,0
880,6.0,1,0
