pair_index,time_s,flow_rate_m3_s,flow_rate_L_s
0.000000000000000000e+00,5.000000000000000240e-05,3.688889990547703315e-04,3.688889990547703501e-01
1.000000000000000000e+00,1.000000000000000048e-04,3.689405014374795935e-04,3.689405014374795844e-01
2.000000000000000000e+00,1.500000000000000140e-04,3.689990590464323574e-04,3.689990590464323761e-01
3.000000000000000000e+00,2.000000000000000096e-04,3.693194881525007950e-04,3.693194881525008189e-01
4.000000000000000000e+00,2.500000000000000052e-04,3.693844206060308520e-04,3.693844206060308277e-01
5.000000000000000000e+00,3.000000000000000279e-04,3.700766932729978188e-04,3.700766932729978032e-01
6.000000000000000000e+00,3.500000000000000507e-04,3.688542689601071725e-04,3.688542689601071456e-01
7.000000000000000000e+00,4.000000000000000192e-04,3.704017037637609921e-04,3.704017037637609699e-01
8.000000000000000000e+00,4.500000000000000419e-04,3.697053772529623880e-04,3.697053772529623750e-01
9.000000000000000000e+00,5.000000000000000104e-04,3.699477183424336327e-04,3.699477183424336180e-01
1.000000000000000000e+01,5.500000000000000331e-04,3.699813293368278493e-04,3.699813293368278688e-01
1.100000000000000000e+01,6.000000000000000559e-04,3.703968834802034331e-04,3.703968834802034427e-01
1.200000000000000000e+01,6.500000000000000786e-04,3.698924071682360595e-04,3.698924071682360704e-01
1.300000000000000000e+01,7.000000000000001013e-04,3.702641470427172265e-04,3.702641470427172066e-01
1.400000000000000000e+01,7.500000000000000156e-04,3.702290899387139424e-04,3.702290899387139511e-01
1.500000000000000000e+01,8.000000000000000383e-04,3.702098239229898715e-04,3.702098239229898446e-01
1.600000000000000000e+01,8.500000000000000611e-04,3.702461870499578985e-04,3.702461870499578755e-01
1.700000000000000000e+01,9.000000000000000838e-04,3.701153177348275058e-04,3.701153177348275314e-01
1.800000000000000000e+01,9.500000000000001065e-04,3.704114717082238745e-04,3.704114717082238606e-01
1.900000000000000000e+01,1.000000000000000021e-03,3.705903528558865054e-04,3.705903528558864846e-01
2.000000000000000000e+01,1.049999999999999935e-03,3.705170058559809055e-04,3.705170058559809076e-01
2.100000000000000000e+01,1.100000000000000066e-03,3.712963899763469140e-04,3.712963899763468967e-01
2.200000000000000000e+01,1.149999999999999981e-03,3.712094254543797374e-04,3.712094254543797378e-01
2.300000000000000000e+01,1.199999999999999895e-03,3.722681903013449751e-04,3.722681903013449478e-01
2.400000000000000000e+01,1.250000000000000026e-03,3.720237421949531458e-04,3.720237421949531553e-01
2.500000000000000000e+01,1.299999999999999940e-03,3.729560128454956344e-04,3.729560128454956214e-01
2.600000000000000000e+01,1.350000000000000071e-03,3.726389630775050121e-04,3.726389630775049921e-01
2.700000000000000000e+01,1.399999999999999986e-03,3.732169697726986672e-04,3.732169697726986923e-01
2.800000000000000000e+01,1.449999999999999900e-03,3.732151136402349551e-04,3.732151136402349634e-01
2.900000000000000000e+01,1.500000000000000031e-03,3.735438794148588032e-04,3.735438794148587816e-01
3.000000000000000000e+01,1.549999999999999946e-03,3.737873497528272767e-04,3.737873497528272915e-01
3.100000000000000000e+01,1.600000000000000077e-03,3.736554261990522596e-04,3.736554261990522319e-01
3.200000000000000000e+01,1.649999999999999991e-03,3.741105332452753364e-04,3.741105332452753229e-01
3.300000000000000000e+01,1.699999999999999905e-03,3.738545748093021685e-04,3.738545748093021759e-01
3.400000000000000000e+01,1.750000000000000036e-03,3.743430285292980819e-04,3.743430285292980719e-01
3.500000000000000000e+01,1.799999999999999951e-03,3.747055839896126068e-04,3.747055839896126228e-01
3.600000000000000000e+01,1.850000000000000082e-03,3.754820665588232934e-04,3.754820665588232687e-01
3.700000000000000000e+01,1.899999999999999996e-03,3.745636249297621388e-04,3.745636249297621401e-01
3.800000000000000000e+01,1.949999999999999910e-03,3.750135028585023923e-04,3.750135028585023789e-01
3.900000000000000000e+01,2.000000000000000042e-03,3.751355131757120676e-04,3.751355131757120875e-01
4.000000000000000000e+01,2.050000000000000173e-03,3.749135975975003408e-04,3.749135975975003143e-01
4.100000000000000000e+01,2.100000000000000304e-03,3.754292146336543688e-04,3.754292146336543623e-01
4.200000000000000000e+01,2.150000000000000435e-03,3.757172366433742970e-04,3.757172366433743083e-01
4.300000000000000000e+01,2.200000000000000133e-03,3.761653703148760139e-04,3.761653703148760131e-01
4.400000000000000000e+01,2.250000000000000264e-03,3.758769706194161437e-04,3.758769706194161619e-01
4.500000000000000000e+01,2.300000000000000395e-03,3.769711202189967919e-04,3.769711202189968136e-01
4.600000000000000000e+01,2.350000000000000092e-03,3.766160173000774681e-04,3.766160173000774880e-01
4.700000000000000000e+01,2.400000000000000223e-03,3.775617276300699109e-04,3.775617276300698988e-01
4.800000000000000000e+01,2.450000000000000355e-03,3.776737127443980345e-04,3.776737127443980380e-01
4.900000000000000000e+01,2.500000000000000052e-03,3.779008475920440468e-04,3.779008475920440646e-01
5.000000000000000000e+01,2.550000000000000183e-03,3.778170187851177938e-04,3.778170187851178086e-01
5.100000000000000000e+01,2.600000000000000314e-03,3.778105740145107447e-04,3.778105740145107361e-01
5.200000000000000000e+01,2.650000000000000445e-03,3.781985593133812000e-04,3.781985593133811996e-01
5.300000000000000000e+01,2.700000000000000143e-03,3.777010861822286520e-04,3.777010861822286403e-01
5.400000000000000000e+01,2.750000000000000274e-03,3.789996971409859247e-04,3.789996971409859139e-01
