pair_index,time_s,flow_rate_m3_s,flow_rate_L_s
,0,,0
,0.01,,1.84
,0.02,,3.84
,0.03,,4.8
,0.04,,5.77
,0.05,,6.000000002
,0.06,,5.970000001
,0.07,,5.79
,0.08,,5.53
,0.09,,4.84
,0.1,,4.51
,0.11,,4.41
,0.12,,4.36
,0.13,,4.29
,0.14,,4.26
,0.15,,4.21
,0.16,,4.17
,0.17,,4.11
,0.18,,4.08
,0.19,,4
,0.2,,3.91
,0.21,,3.85
,0.22,,3.67
,0.23,,3.46
,0.24,,3.25
,0.25,,2.88
,0.26,,2.65
,0.27,,2.37
,0.28,,2.17
,0.29,,2.01
,0.3,,1.92
,0.31,,1.81
,0.32,,1.8
,0.33,,1.77
,0.34,,1.66
,0.35,,1.6
,0.36,,1.47
,0.37,,1.33
,0.38,,1.2
,0.39,,1.02
,0.4,,0.79
,0.41,,0.61
,0.42,,0.52
,0.43,,0.4
,0.44,,0.33
,0.45,,0.25
,0.46,,0.18
,0.47,,0.15
,0.48,,0.13
,0.49,,0.1
,0.5,,
,0.51,,0.07
